date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),fees,activeAddresses
2015-05-05,,,14581109.6533,0.003021,6410.0,,
2015-05-06,,,12994779.4603,0.002691,4242.0,,
2015-05-07,,,13331406.8254,0.002761,17196.0,,
2015-05-08,,,13393662.026,0.002773,40149.0,,
2015-05-09,,,14129350.5026,0.002926,18016.0,,
2015-05-10,,,13699612.2649,0.002836,6673.0,,
2015-05-11,,,13459096.5611,0.002786,7693.0,,
2015-05-12,,,14352488.6548,0.002971,16605.0,,
2015-05-13,,,13482890.4555,0.00279,7557.0,,
2015-05-14,,,13578148.5413,0.002809,8935.0,,
2015-05-15,,,13764731.3412,0.002848,6608.0,,
2015-05-16,,,13911977.3775,0.002878,6243.0,,
2015-05-17,,,12566767.3304,0.002599,9992.0,,
2015-05-18,,,12459506.4861,0.002576,9633.0,,
2015-05-19,,,12147941.5249,0.002511,46705.0,,
2015-05-20,,,12831564.9067,0.002653,33006.0,,
2015-05-21,,,13167772.9526,0.002722,10161.0,,
2015-05-22,,,13372598.434,0.002765,45598.0,,
2015-05-23,,,14976692.4412,0.003096,42823.0,,
2015-05-24,,,14646684.3717,0.003028,25015.0,,
2015-05-25,,,15166494.9135,0.003135,44799.0,,
2015-05-26,,,15377221.8633,0.003179,10087.0,,
2015-05-27,,,15439176.8715,0.003192,21904.0,,
2015-05-28,,,15319391.5148,0.003167,116009.0,,
2015-05-29,,,17170419.723,0.00355,164867.0,,
2015-05-30,,,17467306.6651,0.003611,70294.0,,
2015-05-31,,,15731261.8724,0.003252,34077.0,,
2015-06-01,,,16434042.6372,0.003397,20681.0,,
2015-06-02,,,14966913.291,0.003094,70139.0,,
2015-06-03,,,15617754.3868,0.003229,23415.0,,
2015-06-04,,,14659042.0412,0.00303,17068.0,,
2015-06-05,,,15266690.3544,0.003156,14581.0,,
2015-06-06,,,15260197.5933,0.003155,11850.0,,
2015-06-07,,,15167561.4686,0.003135,8643.0,,
2015-06-08,,,14922330.5342,0.003085,6534.0,,
2015-06-09,,,15115182.1784,0.003125,17228.0,,
2015-06-10,,,15509980.9174,0.003206,7419.0,,
2015-06-11,,,15289743.7613,0.003161,18371.0,,
2015-06-12,,,15008364.3616,0.003103,7947.0,,
2015-06-13,,,14923884.6688,0.003085,23848.0,,
2015-06-14,,,15634616.1496,0.003232,26760.0,,
2015-06-15,,,15763163.1786,0.003259,38841.0,,
2015-06-16,,,16741725.9437,0.003461,104286.0,,
2015-06-17,,,18127480.155,0.003747,148541.0,,
2015-06-18,,,17420431.2409,0.003601,103675.0,,
2015-06-19,,,18254900.8324,0.003774,132710.0,,
2015-06-20,,,18060065.2069,0.003733,52776.0,,
2015-06-21,,,17750266.1299,0.003669,25279.0,,
2015-06-22,,,17063387.4821,0.003527,22128.0,,
2015-06-23,,,17808737.811,0.003681,26466.0,,
2015-06-24,,,16970722.8626,0.003508,12699.0,,
2015-06-25,,,16566365.4587,0.003425,27297.0,,
2015-06-26,,,16813458.9316,0.003476,10574.0,,
2015-06-27,,,16481383.59,0.003407,33469.0,,
2015-06-28,,,17193016.6358,0.003554,12404.0,,
2015-06-29,,,16577810.6931,0.003427,23192.0,,
2015-06-30,,,16946090.5908,0.003503,42462.0,,
2015-07-01,,,16781663.6929,0.003469,13853.0,,
2015-07-02,,,16726890.9832,0.003458,10950.0,,
2015-07-03,,,16449783.8855,0.003401,24472.0,,
2015-07-04,,,15792634.3412,0.003265,6970.0,,
2015-07-05,,,15449923.2921,0.003194,30745.0,,
2015-07-06,,,15078834.1552,0.003117,19319.0,,
2015-07-07,,,15621862.9354,0.003229,14883.0,,
2015-07-08,,,15191190.0622,0.00314,27219.0,,
2015-07-09,,,15546044.4531,0.003214,19032.0,,
2015-07-10,,,14801455.7624,0.00306,59968.0,,
2015-07-11,,,15063332.6933,0.003114,11058.0,,
2015-07-12,,,14905627.3785,0.003081,9505.0,,
2015-07-13,,,15397258.698,0.003183,23801.0,,
2015-07-14,,,15571703.7933,0.003219,11489.0,,
2015-07-15,,,14877199.1758,0.003075,13358.0,,
2015-07-16,,,14485477.7764,0.002995,14119.0,,
2015-07-17,,,13692396.9373,0.002831,12207.0,,
2015-07-18,,,13789352.7296,0.002851,2672.0,,
2015-07-19,,,14020271.561,0.002898,2580.0,,
2015-07-20,,,13892376.651,0.002872,6338.0,,
2015-07-21,,,14464451.1021,0.00299,23511.0,,
2015-07-22,,,14822848.8031,0.003064,19236.0,,
2015-07-23,,,15057401.6207,0.003113,5114.0,,
2015-07-24,,,14691859.5178,0.003037,3959.0,,
2015-07-25,,,14961689.9969,0.003093,31665.0,,
2015-07-26,,,14214681.062,0.002939,3878.0,,
2015-07-27,,,14590706.4856,0.003016,12245.0,,
2015-07-28,,,14245701.52,0.002945,17746.0,,
2015-07-29,,,13189696.2593,0.002727,8951.0,,
2015-07-30,,,13657169.857,0.002823,4348.0,,
2015-07-31,,,13595495.0582,0.002811,12919.0,,
2015-08-01,,,12793065.0927,0.002645,11103.0,,
2015-08-02,,,12770949.1376,0.00264,6687.0,,
2015-08-03,,,13179692.9494,0.002725,7155.0,,
2015-08-04,,,12708895.0106,0.002627,4294.0,,
2015-08-05,,,12726022.1424,0.002631,40512.0,,
2015-08-06,,,12743111.4604,0.002634,7126.0,,
2015-08-07,,,12207178.6283,0.002524,4101.0,,
2015-08-08,,,11769580.673,0.002433,22350.0,,
2015-08-09,,,11711889.4797,0.002421,12956.0,,
2015-08-10,,,11342221.0665,0.002345,17339.0,,
2015-08-11,,,11926931.3745,0.002466,7245.0,,
2015-08-12,,,11588552.9966,0.002396,21375.0,,
2015-08-13,,,11508731.9417,0.002379,9789.0,,
2015-08-14,,,10954860.4343,0.002265,11426.0,,
2015-08-15,,,11187672.2604,0.002313,6685.0,,
2015-08-16,,,10978279.26,0.00227,15113.0,,
2015-08-17,,,10369667.4359,0.002144,4373.0,,
2015-08-18,,,10495722.6571,0.00217,28468.0,,
2015-08-19,,,9044857.32597,0.00187,36661.0,,
2015-08-20,,,8691402.06798,0.001797,13326.0,,
2015-08-21,,,9806256.1614,0.002027,13673.0,,
2015-08-22,,,9647762.22589,0.001994,8307.0,,
2015-08-23,,,9677179.20368,0.002001,2286.0,,
2015-08-24,,,9535387.55708,0.001971,3367.0,,
2015-08-25,,,9104101.44474,0.001882,6407.0,,
2015-08-26,,,8977339.7543,0.001856,5899.0,,
2015-08-27,,,9841047.92618,0.002034,4432.0,,
2015-08-28,,,9703036.48683,0.002006,71683.0,,
2015-08-29,,,11398403.882,0.002356,74173.0,,
2015-08-30,,,12463599.9738,0.002577,45670.0,,
2015-08-31,,,11435925.812,0.002364,32459.0,,
2015-09-01,,,11987855.7092,0.002478,4818.0,,
2015-09-02,,,11783168.2608,0.002436,25216.0,,
2015-09-03,,,11720668.7274,0.002423,8753.0,,
2015-09-04,,,11500031.4851,0.002377,7558.0,,
2015-09-05,,,11226461.3982,0.002321,9478.0,,
2015-09-06,,,11693278.6177,0.002417,9566.0,,
2015-09-07,,,12223052.6236,0.002527,3074.0,,
2015-09-08,,,11857082.2813,0.002451,11354.0,,
2015-09-09,,,11126832.0729,0.0023,18552.0,,
2015-09-10,,,10618526.2341,0.002195,8188.0,,
2015-09-11,,,10680069.2784,0.002208,4021.0,,
2015-09-12,,,10792624.4194,0.002231,1075.0,,
2015-09-13,,,10828332.1052,0.002239,1583.0,,
2015-09-14,,,10433007.6508,0.002157,4634.0,,
2015-09-15,,,10348859.24,0.002139,3674.0,,
2015-09-16,,,10562247.8268,0.002183,7901.0,,
2015-09-17,,,10411112.3124,0.002152,4024.0,,
2015-09-18,,,10778447.1529,0.002228,22669.0,,
2015-09-19,,,10854035.3778,0.002244,5375.0,,
2015-09-20,,,11104080.3036,0.002295,3069.0,,
2015-09-21,,,10751887.1681,0.002223,1970.0,,
2015-09-22,,,10362392.8737,0.002142,2836.0,,
2015-09-23,,,10341075.7301,0.002138,2495.0,,
2015-09-24,,,10027255.1152,0.002073,3528.0,,
2015-09-25,,,9957361.73638,0.002058,1193.0,,
2015-09-26,,,9943732.31482,0.002056,6180.0,,
2015-09-27,,,10015556.299,0.00207,3105.0,,
2015-09-28,,,10005279.7111,0.002068,4256.0,,
2015-09-29,,,10115454.1606,0.002091,6058.0,,
2015-09-30,,,10039284.8615,0.002075,15365.0,,
2015-10-01,,,9599041.61151,0.001984,12894.0,,
2015-10-02,,,10556231.1628,0.002182,2850.0,,
2015-10-03,,,10040905.5618,0.002076,1917.0,,
2015-10-04,,,9945847.37201,0.002056,945.0,,
2015-10-05,,,9921119.06083,0.002051,862.0,,
2015-10-06,,,9786820.11555,0.002023,2190.0,,
2015-10-07,,,10049513.9513,0.002077,1570.0,,
2015-10-08,,,10042201.7255,0.002076,3520.0,,
2015-10-09,,,9654908.91089,0.001996,2854.0,,
2015-10-10,,,10146875.3215,0.002098,2475.0,,
2015-10-11,,,10079331.1867,0.002084,1112.0,,
2015-10-12,,,10203190.3929,0.002109,3608.0,,
2015-10-13,,,9822660.34555,0.002031,980.0,,
2015-10-14,,,10165355.5217,0.002101,4159.0,,
2015-10-15,,,9245669.96743,0.001911,14152.0,,
2015-10-16,,,9370153.45661,0.001937,1630.0,,
2015-10-17,,,9362547.19033,0.001935,3972.0,,
2015-10-18,0.09925,1,9601958.36207,0.001985,1999.0,0.00043,2
2015-10-19,,,9541191.9731,0.001972,1912.0,,
2015-10-20,,,9391618.80321,0.001941,3159.0,,
2015-10-21,,,9047917.83291,0.00187,3541.0,,
2015-10-22,,,9560668.50485,0.001976,2145.0,,
2015-10-23,,,9470672.82311,0.001958,3234.0,,
2015-10-24,,,9460935.00156,0.001956,943.0,,
2015-10-25,,,9311565.90668,0.001925,7266.0,,
2015-10-26,,,9138061.87419,0.001889,11446.0,,
2015-10-27,,,8898998.29745,0.00184,3777.0,,
2015-10-28,,,9660488.48861,0.001997,6781.0,,
2015-10-29,,,9902020.67376,0.002047,8212.0,,
2015-10-30,,,10015621.0714,0.00207,19613.0,,
2015-10-31,,,10481872.3014,0.002167,17814.0,,
2015-11-01,,,10449623.2331,0.00216,10484.0,,
2015-11-02,,,10287929.9315,0.002127,3748.0,,
2015-11-03,,,10631101.4427,0.002198,21834.0,,
2015-11-04,239566.758788,1084,10625673.5954,0.002197,52465.0,0.01152,536
2015-11-05,151486.823142,29335,10558899.7525,0.002183,10392.0,0.29351,536
2015-11-06,579501.841891,33246,9713513.0266,0.002008,6285.0,0.33328,1236
2015-11-07,61498.5315417,9994,9282242.04665,0.001919,2878.0,0.10056,628
2015-11-08,11416.5083227,299,9742486.0772,0.002014,1700.0,0.00371,300
2015-11-09,766504.618564,304,9412199.91736,0.001946,2082.0,0.00338,305
2015-11-10,65922.4847279,197,9825972.02354,0.002031,10658.0,0.00217,197
2015-11-11,22605.7188588,145,9876474.02648,0.002042,3594.0,0.00171,144
2015-11-12,30483.6373319,242,9495865.55226,0.001963,3518.0,0.00303,243
2015-11-13,1842.55595643,338,10011958.7234,0.00207,1100.0,0.00585,327
2015-11-14,54692.6195376,183,9572887.53054,0.001979,527.0,0.00316,184
2015-11-15,5911.91086128,124,9581213.12324,0.001981,491.0,0.00151,125
2015-11-16,44576.7590281,1032,9613027.42976,0.001987,493.0,0.0113,1030
2015-11-17,2048.96934678,1270,9295969.04615,0.001922,778.0,0.01334,1253
2015-11-18,3783.03529345,969,9747171.42745,0.002015,1737.0,0.01241,957
2015-11-19,1488.94321071,1193,9241265.81865,0.00191,1207.0,0.01221,1174
2015-11-20,10276697.4417,819,9339111.83694,0.001931,2032.0,0.00884,810
2015-11-21,1320.98342238,203,9163392.14031,0.001894,2219.0,0.00245,206
2015-11-22,1777.87026454,368,9240334.95436,0.00191,552.0,0.00405,242
2015-11-23,145416.905391,468,9538714.49474,0.001972,698.0,0.00485,454
2015-11-24,12531.2126816,722,9193044.67059,0.0019,928.0,0.00734,715
2015-11-25,1085.95529113,870,9037934.21803,0.001868,1503.0,0.00901,873
2015-11-26,1459.9093565,116,9228570.675,0.001908,3910.0,0.00162,116
2015-11-27,2605.65663286,326,9256393.37599,0.001914,2338.0,0.00488,217
2015-11-28,435431.047309,171,8540043.23377,0.001765,4101.0,0.00245,127
2015-11-29,683.257609594,45,8430785.81897,0.001743,4142.0,0.00113,48
2015-11-30,339879.598482,69,8415639.59584,0.00174,3270.0,0.00104,68
2015-12-01,22.6702155504,7,8323175.61127,0.001721,4810.0,0.00014,9
